regnr,model_year,fuel,body_type,price_sek,odometer_km,price_per_1000km,url
ETP481,2015,Diesel,Familjebuss,135000,232370,580.97,https://www.blocket.se/annons/1401815066
NFX342,2016,Bensin,Halvkombi,179000,137850,1298.51,https://www.blocket.se/annons/1401819556
YMN852,2018,Bensin,SUV,106000,60130,1762.85,https://www.blocket.se/annons/1401810244
PMT232,2018,Diesel,Skåpbil,125000,84200,1484.56,https://www.blocket.se/annons/1401796361
MDB745,2017,Diesel,Kombi,180000,137000,1313.87,https://www.blocket.se/annons/1401813687
GCM367,2018,Miljöbränsle/Hybrid,Halvkombi,199000,127400,1562.01,https://www.blocket.se/annons/1401640528
HSC98S,2021,Diesel,Halvkombi,300000,51660,5807.2,https://www.blocket.se/annons/1401801294
AWZ382,2016,El,Halvkombi,129000,82920,1555.72,https://www.blocket.se/annons/1401782647
ZDH680,2018,Bensin,Kombi,118000,172300,684.85,https://www.blocket.se/annons/1401814489
JYY136,2016,Diesel,Kombi,169900,228760,742.7,https://www.blocket.se/annons/1401799248
ZHH02C,2020,Diesel,Sedan,285000,106760,2669.54,https://www.blocket.se/annons/1401811017
HTF98P,2019,Diesel,Familjebuss,225000,88760,2534.93,https://www.blocket.se/annons/1401704683
NJM863,2016,Diesel,SUV,179900,196520,915.43,https://www.blocket.se/annons/1401816846
NUN757,2016,Bensin,Coupé,265000,111000,2387.39,https://www.blocket.se/annons/1401802968
GBG088,2015,Diesel,Kombi,199000,232930,854.33,https://www.blocket.se/annons/1401821696
FLM56B,2021,El,Halvkombi,220000,105000,2095.24,https://www.blocket.se/annons/1401827118
PDU945,2017,Diesel,Kombi,169900,126000,1348.41,https://www.blocket.se/annons/1401819303
YDT194,2016,Diesel,Halvkombi,89000,103820,857.25,https://www.blocket.se/annons/1401813274
BTC01U,2020,Bensin,Halvkombi,189000,43050,4390.24,https://www.blocket.se/annons/1401784258
MBF751,2016,Diesel,Halvkombi,139000,92000,1510.87,https://www.blocket.se/annons/1401581270
PFO269,2017,Diesel,Yrkesfordon,144000,129480,1112.14,https://www.blocket.se/annons/1401817495
UYP87D,2019,Bensin,SUV,149500,677270,220.74,https://www.blocket.se/annons/1401811693
LHB10U,2022,Diesel,Skåpbil,389900,113660,3430.41,https://www.blocket.se/annons/1401799408
NDL383,2016,Bensin,Cab,425000,65100,6528.42,https://www.blocket.se/annons/1401823818
DAF13R,2023,Bensin,SUV,199900,22950,8710.24,https://www.blocket.se/annons/1401812773
SSR900,2018,Bensin,SUV,449000,26250,17104.76,https://www.blocket.se/annons/1401822512
DSP570,2016,Bensin,Halvkombi,119000,98770,1204.82,https://www.blocket.se/annons/1401810116
TTA261,2018,Miljöbränsle/Hybrid,Halvkombi,148500,171850,864.13,https://www.blocket.se/annons/1401766400
RWA413,2016,Diesel,Skåpbil,57000,201590,282.75,https://www.blocket.se/annons/1401818951
ECY243,2018,Diesel,SUV,365000,71300,5119.21,https://www.blocket.se/annons/1401799621
ULN48Y,2021,Diesel,SUV,429000,19800,21666.67,https://www.blocket.se/annons/1401810522
FAD36M,2024,El,Sedan,630000,19000,33157.89,https://www.blocket.se/annons/1401821848
WAX679,2016,Diesel,Pickup,450000,87570,5138.75,https://www.blocket.se/annons/1401767266
UPG98E,2020,El,Halvkombi,130000,117000,1111.11,https://www.blocket.se/annons/1401823830
ZDX419,2018,Bensin,Halvkombi,269000,141010,1907.67,https://www.blocket.se/annons/1401819064
YXK856,2019,Diesel,SUV,625000,87500,7142.86,https://www.blocket.se/annons/1401787977
DKF56P,2020,El,SUV,159900,28800,5552.08,https://www.blocket.se/annons/1401808987
YBT783,2016,Diesel,Halvkombi,130000,135240,961.25,https://www.blocket.se/annons/1401812885
FTY471,2018,Diesel,Skåpbil,122800,82000,1497.56,https://www.blocket.se/annons/1401820384
YKZ399,2016,Diesel,Pickup,90000,166480,540.61,https://www.blocket.se/annons/1401810843
MNY41Y,2020,Bensin,Halvkombi,153500,88310,1738.19,https://www.blocket.se/annons/1401815108
CDD35W,2022,Bensin,Halvkombi,287000,42990,6675.97,https://www.blocket.se/annons/1401823291
YAN437,2016,Diesel,Kombi,199000,229740,866.2,https://www.blocket.se/annons/1401822216
OTK514,2015,Diesel,Halvkombi,140000,150000,933.33,https://www.blocket.se/annons/1401810933
NFF132,2017,Diesel,SUV,140000,291800,479.78,https://www.blocket.se/annons/1401818084
YXM987,2019,Miljöbränsle/Hybrid,SUV,195000,90890,2145.45,https://www.blocket.se/annons/1401809458
EMK312,2015,Diesel,Kombi,116900,191180,611.47,https://www.blocket.se/annons/1401809348
RCU093,2018,Diesel,Familjebuss,144000,128130,1123.86,https://www.blocket.se/annons/1401801618
PNW624,2016,Diesel,Kombi,220000,185780,1184.2,https://www.blocket.se/annons/1401825152
RDL449,2016,Diesel,Skåpbil,79000,184000,429.35,https://www.blocket.se/annons/1401705345
ERT45D,2023,El,Halvkombi,334990,44600,7510.99,https://www.blocket.se/annons/1401791125
PTP037,2017,Diesel,Skåpbil,116000,127620,908.95,https://www.blocket.se/annons/1401826370
YPK509,2018,Diesel,SUV,409000,119280,3428.91,https://www.blocket.se/annons/1401808265
ZAB851,2018,El,Halvkombi,85000,72950,1165.18,https://www.blocket.se/annons/1401807370
SPD368,2018,Bensin,Halvkombi,159000,155000,1025.81,https://www.blocket.se/annons/1401787291
GHD87L,2022,Bensin,Kombi,195000,45200,4314.16,https://www.blocket.se/annons/1401807932
OBC770,2019,Diesel,Familjebuss,469000,114500,4096.07,https://www.blocket.se/annons/1401823525
BMN925,2023,El,SUV,384000,29600,12972.97,https://www.blocket.se/annons/1401823730
NLG373,2016,Bensin,Halvkombi,79000,108500,728.11,https://www.blocket.se/annons/1401809677
HBK585,2016,Diesel,Kombi,209000,159000,1314.47,https://www.blocket.se/annons/1401561767
CXB735,2018,Bensin,Halvkombi,67000,111960,598.43,https://www.blocket.se/annons/1401809793
